"Player","position","multiplier","salary","status","game_window","SOS","Floor","Consensus","Proj.","Ceiling","3D Proj.","GB_Projection","GB_Projection_Floor","GB_Projection_Ceiling"
"Jonnu Smith","TE",1,5500,"Active","Sunday Afternoon","3%",9.2,13.1,11.5,25.4,13.8,13.8,9.2,25.4
"David Njoku","TE",1,5200,"Active","Sunday Afternoon","1%",6.4,10.1,10.7,18.5,11.4,11.4,6.4,18.5
"Trey McBride","TE",1.3,8060,"Active","Saturday","-5%",10.7,15.2,16.5,23.8,16.8,21.84,13.91,30.94
"Hunter Henry","TE",1.3,5330,"Active","Saturday","-33%",7.3,10.1,9.1,17.6,10.4,13.52,9.49,22.88
"Travis Kelce","TE",1.1,6160,"Active","Wednesday","2%",7.8,13,14.4,20.5,14.3,15.73,8.58,22.55
"T.J. Hockenson","TE",1,4800,"Active","Sunday Morning","19%",9.5,10.4,10.8,13.6,11.1,11.1,9.5,13.6
"George Kittle","TE",1.3,7800,"Active","Monday Night","-26%",8.5,14.4,13.4,22.8,14.3,18.59,11.05,29.64
"Jonnu Smith","TE",1.1,6050,"Active","Sunday Afternoon","3%",9.2,13.1,11.5,25.4,13.8,15.18,10.12,27.94
"Foster Moreau","TE",1.3,3900,"Active","Sunday Morning","21%",4.5,5.5,5.2,13.3,6.7,8.71,5.85,17.29
"Noah Fant","TE",1.3,4680,"Active","Thursday","10%",4.7,6.6,6.3,12.6,7.3,9.49,6.11,16.38
"Mark Andrews","TE",1,4300,"Active","Wednesday","-6%",6.6,9.8,9.6,20.6,11.2,11.2,6.6,20.6
